model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalNN,1,42,0.5766666666666667,0.5850130599773299,0.5766666666666667,0.5660147395518903,3.741205
ClassicalNN,2,43,0.5566666666666666,0.5799924712968192,0.5566666666666666,0.5218063495487721,1.403676
ClassicalNN,3,44,0.58,0.5807030129124819,0.58,0.5790833370451206,1.472453
ClassicalNN,4,45,0.55,0.6018007420142973,0.55,0.48441140150984713,1.396934
ClassicalNN,5,46,0.55,0.5736497545008183,0.55,0.5107218363032316,1.410149
ClassicalNN,1,42,0.5,0.25,0.5,0.3333333333333333,3.601619
ClassicalNN,2,43,0.5633333333333334,0.5690039223282165,0.5633333333333334,0.5541740876450636,2.205267
ClassicalNN,3,44,0.6066666666666667,0.6105175907165225,0.6066666666666667,0.6032101865136298,2.111412
ClassicalNN,4,45,0.49,0.3902974158946855,0.49,0.34005262325487773,2.345134
ClassicalNN,5,46,0.5933333333333334,0.611111111111111,0.5933333333333334,0.5763888888888888,2.898625
ClassicalNN,1,42,0.5766666666666667,0.5850130599773299,0.5766666666666667,0.5660147395518903,2.835744
ClassicalNN,2,43,0.5566666666666666,0.5799924712968192,0.5566666666666666,0.5218063495487721,1.445119
ClassicalNN,3,44,0.58,0.5807030129124819,0.58,0.5790833370451206,1.399959
ClassicalNN,4,45,0.55,0.6018007420142973,0.55,0.48441140150984713,1.382162
ClassicalNN,5,46,0.55,0.5736497545008183,0.55,0.5107218363032316,1.364728
