model,trial,seed,accuracy,precision,recall,f1score,duration_seconds
ClassicalCNN,1,1042,0.9933333333333333,0.9934210526315788,0.9933333333333333,0.9933330370238677,2.046868
ClassicalCNN,2,1043,1.0,1.0,1.0,1.0,1.994441
ClassicalCNN,3,1044,0.9966666666666667,0.9966887417218542,0.9966666666666667,0.996666629629218,2.038352
ClassicalCNN,4,1045,0.9966666666666667,0.9966887417218542,0.9966666666666667,0.996666629629218,2.02899
ClassicalCNN,5,1046,1.0,1.0,1.0,1.0,2.070584
ClassicalCNN,1,1042,1.0,1.0,1.0,1.0,3.810672
ClassicalCNN,2,1043,0.9966666666666667,0.9966887417218542,0.9966666666666667,0.996666629629218,3.741177
ClassicalCNN,3,1044,1.0,1.0,1.0,1.0,3.771422
ClassicalCNN,4,1045,1.0,1.0,1.0,1.0,3.888973
ClassicalCNN,5,1046,1.0,1.0,1.0,1.0,3.769339
ClassicalCNN,1,1042,1.0,1.0,1.0,1.0,2.559019
ClassicalCNN,2,1043,0.9966666666666667,0.9966887417218542,0.9966666666666667,0.996666629629218,2.520627
ClassicalCNN,3,1044,1.0,1.0,1.0,1.0,2.52482
